"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"06-30-25 / 09:35 PM","Lower Outfield","109","28","2","24"
"06-30-25 / 09:23 PM","Upper","339","4","2","21"
"06-30-25 / 09:14 PM","Lower Box","126","33","0","53"
"06-30-25 / 09:01 PM","Terrace Club","220","1","0","54"
"06-30-25 / 08:47 PM","Terrace Club","218","10","0","40"
"06-30-25 / 08:23 PM","Left Field Bleachers","180","1","4","19"
"06-30-25 / 08:21 PM","Lower Outfield","106","27","2","23"
"06-30-25 / 08:14 PM","Terrace Club","239","8","0","50"
"06-30-25 / 08:08 PM","Lower Box","140","6","2","41"
"06-30-25 / 08:03 PM","Terrace Club","241","7","6","43"
"06-30-25 / 07:20 PM","Upper","330","14","2","17"
"06-30-25 / 07:17 PM","Lower Box","127","34","2","48"
"06-30-25 / 07:17 PM","Upper","320","21","7","17"
"06-30-25 / 07:13 PM","Upper","337","10","2","17"
"06-30-25 / 07:11 PM","Lower Outfield","108","28","5","25"
"06-30-25 / 07:06 PM","Lower Box","132","14","0","48"
"06-30-25 / 07:02 PM","Field","114","20","5","31"
"06-30-25 / 07:00 PM","Lower Outfield","107","26","2","25"
"06-30-25 / 06:25 PM","Field","114","19","0","31"
"06-30-25 / 06:25 PM","Field","143","3","1","45"
"06-30-25 / 06:20 PM","Field","142","19","2","40"
"06-30-25 / 06:19 PM","Field","144","1","2","54"
"06-30-25 / 06:04 PM","Upper","337","9","1","17"
"06-30-25 / 05:34 PM","Field","116","27","5","35"
"06-30-25 / 05:27 PM","Lower Outfield","109","28","6","24"
"06-30-25 / 05:26 PM","Lower Box","138","31","2","52"
"06-30-25 / 05:25 PM","Lower Outfield","105","33","2","21"
"06-30-25 / 05:23 PM","Lower Box","119","2","2","68"
"06-30-25 / 05:14 PM","Left Field Bleachers","181","12","2","16"
"06-30-25 / 05:07 PM","Left Field Bleachers","181","12","0","16"
"06-30-25 / 05:07 PM","Lower Box","137","29","2","47"
"06-30-25 / 05:02 PM","Lower Box","136","9","0","45"
"06-30-25 / 05:00 PM","Lower Box","140","4","2","80"
"06-30-25 / 04:47 PM","Field","147","37","2","21"
"06-30-25 / 04:43 PM","Lower Box","137","6","2","70"
"06-30-25 / 04:27 PM","Lower Box","123","17","2","50"
"06-30-25 / 04:27 PM","Upper","330","23","0","17"
"06-30-25 / 04:19 PM","Lower Box","138","24","2","43"
"06-30-25 / 04:00 PM","Upper","330","15","2","17"
"06-30-25 / 03:34 PM","Field","118","31","2","28"
"06-30-25 / 03:32 PM","Field","117","3","2","55"
"06-30-25 / 03:23 PM","Left Field Bleachers","180","4","2","17"
"06-30-25 / 03:23 PM","Left Field Bleachers","187","2","1","17"
"06-30-25 / 03:19 PM","Field","114","1","0","59"
"06-30-25 / 03:17 PM","Lower Outfield","108","27","6","25"
"06-30-25 / 03:16 PM","Lower Outfield","106","28","2","23"
"06-30-25 / 03:16 PM","Terrace Club","243","1","2","50"
"06-30-25 / 03:07 PM","Field","118","2","2","54"
"06-30-25 / 02:47 PM","Field","117","1","0","54"
"06-30-25 / 02:45 PM","Field","146","8","6","34"
"06-30-25 / 02:40 PM","Lower Box","127","24","2","50"
"06-30-25 / 02:27 PM","Field","117","21","2","36"
"06-30-25 / 02:27 PM","Field","143","19","2","38"
"06-30-25 / 02:24 PM","Field","142","39","2","30"
"06-30-25 / 01:31 PM","Lower Box","138","21","2","46"
"06-30-25 / 01:23 PM","Lower Box","138","29","2","48"
"06-30-25 / 01:20 PM","Lower Box","138","25","2","49"
"06-30-25 / 01:16 PM","Terrace Club","239","10","2","50"
"06-30-25 / 01:13 PM","Lower Box","122","10","0","82"
"06-30-25 / 01:12 PM","Upper","323","9","0","16"
"06-30-25 / 01:09 PM","Lower Box","141","5","2","50"
"06-30-25 / 01:06 PM","Center Field Bleachers","194","13","2","18"
"06-30-25 / 01:01 PM","Lower Box","119","9","2","52"
"06-30-25 / 01:00 PM","Upper","330","15","2","17"
"06-30-25 / 12:53 PM","Lower Box","136","9","0","68"
"06-30-25 / 12:53 PM","Field","144","24","2","30"
"06-30-25 / 12:52 PM","Left Field Bleachers","186","1","2","20"
"06-30-25 / 12:49 PM","Lower Outfield","106","23","0","23"
"06-30-25 / 12:00 PM","Field","117","11","5","47"
"06-30-25 / 11:35 AM","Field","142","27","2","28"
"06-30-25 / 11:31 AM","Lower Box","124","31","2","35"
"06-30-25 / 11:22 AM","Lower Box","127","32","0","45"
"06-30-25 / 11:13 AM","Upper","310","1","10","19"
