"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"08-07-25 / 10:47 PM","Lower Infield Reserve","53","13","2","22"
"08-07-25 / 10:03 PM","Field Box Between the Bases","52","1","2","97"
"08-07-25 / 10:47 AM","Upper Box","352","1","3","21"
"08-07-25 / 01:42 AM","Lower Reserve","77","1","2","16"
"08-06-25 / 09:42 PM","Upper Reserve","342","24","2","10"
"08-06-25 / 08:27 PM","Terrace Infield Box","53","3","2","36"
"08-06-25 / 08:27 PM","Field Box Between the Bases","38","24","2","36"
"08-06-25 / 06:05 PM","Upper Box","344","12","8","16"
"08-06-25 / 08:05 AM","Field Box Outside the Bases","56","10","0","30"
"08-05-25 / 09:54 PM","Field Box Between the Bases","30","11","4","61"
"08-05-25 / 09:09 PM","Field Box Between the Bases","26","21","4","44"
"08-05-25 / 08:54 PM","Field Box Between the Bases","48","11","0","46"
"08-05-25 / 07:09 PM","Field Box Between the Bases","42","24","2","41"
"08-05-25 / 05:45 PM","Lower Box","60","5","2","22"
"08-05-25 / 12:20 PM","Lower Reserve","85","1","2","18"
"08-05-25 / 07:30 AM","Lower Box","12","4","2","21"
"08-03-25 / 09:53 PM","Terrace Box","1","1","2","19"
"08-03-25 / 09:15 PM","Lower Reserve","55","10","6","21"
"08-03-25 / 07:15 PM","Terrace Box","17","2","2","27"
"08-03-25 / 02:40 PM","Field Box Between the Bases","26","12","0","42"
"08-03-25 / 10:41 AM","Lower Infield Reserve","19","13","2","20"
"08-03-25 / 01:13 AM","Terrace Infield Box","39","4","5","47"
"08-01-25 / 02:03 PM","Terrace Infield Box","47","6","2","32"
"08-01-25 / 08:27 AM","Bird Bath","86","12","4","20"
"07-31-25 / 07:56 PM","Field Box Outside the Bases","56","10","0","30"
"07-31-25 / 07:20 PM","Field Box Between the Bases","54","1","0","135"
"07-31-25 / 05:21 PM","Eutaw Street Bleacher","92","1","4","22"
"07-31-25 / 03:56 PM","Club Box","262","1","4","31"
"07-31-25 / 03:21 PM","Eutaw Street Bleacher","98","1","9","26"
"07-30-25 / 04:17 PM","OF Upper Box","312","1","4","16"
"07-29-25 / 06:27 AM","Upper Reserve","348","15","2","14"
"07-28-25 / 03:26 AM","Field Box Between the Bases","24","3","0","122"
"07-26-25 / 07:51 PM","Terrace Infield Box","47","1","1","30"
"07-26-25 / 03:42 PM","Bird Bath","86","3","2","28"
"07-25-25 / 10:31 AM","Eutaw Street Bleacher","90","2","9","22"
"07-23-25 / 02:50 PM","Terrace Box","65","1","3","23"
"07-23-25 / 12:50 PM","Upper Reserve","340","17","0","12"
"07-22-25 / 02:28 PM","Field Box Between the Bases","50","8","5","73"
"07-21-25 / 09:38 PM","Terrace Box","15","1","2","33"
"07-21-25 / 02:32 PM","Terrace Infield Box","47","1","3","34"
"07-20-25 / 10:30 AM","Club Box Infield","230","3","6","48"
"07-19-25 / 03:24 PM","Terrace Box","59","2","2","26"
"07-19-25 / 01:09 PM","Lower Box","6","11","2","30"
"07-17-25 / 11:57 PM","Upper Reserve","330","15","4","15"
"07-17-25 / 02:14 PM","Eutaw Street Bleacher","98","2","4","21"
"07-15-25 / 07:54 PM","Field Box Outside the Bases","56","10","0","44"
"07-15-25 / 02:21 PM","Terrace Box","55","1","2","28"
"07-13-25 / 03:32 PM","Field Box Outside the Bases","18","23","0","37"
"07-10-25 / 08:57 AM","Lower Box","8","7","2","36"
"07-06-25 / 08:23 AM","Field Box Outside the Bases","18","17","1","35"
"07-03-25 / 09:28 PM","Club Box","256","1","2","44"
"07-02-25 / 12:08 PM","Field Box Between the Bases","30","8","0","59"
"07-01-25 / 08:14 PM","LF Lower Box","66","1","2","38"
"07-01-25 / 05:16 PM","Field Box Between the Bases","36","8","2","87"
"06-30-25 / 08:10 PM","Field Box Outside the Bases","18","17","1","35"
"06-27-25 / 07:12 PM","Eutaw Street Bleacher","90","1","6","27"
"06-26-25 / 11:19 AM","Upper Reserve","334","13","1","15"
"06-25-25 / 09:35 PM","Lower Box","14","5","2","34"
"06-21-25 / 09:03 PM","Upper Box","334","11","2","16"
"06-12-25 / 11:55 AM","Upper Reserve","332","16","0","13"
"06-04-25 / 11:11 AM","Upper Reserve","334","13","2","18"
"06-03-25 / 03:50 PM","Club Box Infield","220","3","2","64"
"04-28-25 / 07:00 AM","Upper Box","322","1","2","42"
"04-23-25 / 03:17 PM","Terrace Infield Box","53","1","10","64"
"03-29-25 / 05:58 PM","Field Box Outside the Bases","56","13","1","44"
"02-25-25 / 02:30 PM","Upper Box","318","2","0","24.7"
"02-17-25 / 07:12 PM","LF Lower Box","80","1","0","52.25"
"02-17-25 / 06:07 PM","LF Lower Box","80","1","0","52.25"
"02-12-25 / 09:20 PM","Upper Reserve","324","15","0","16.31"
"02-10-25 / 01:29 PM","Field Box Between the Bases","20","3","0","96.9"
"10-19-24 / 12:17 AM","Field Box Between the Bases","40","28","2","293.72"
"10-19-24 / 12:17 AM","Field Box Between the Bases","24","","2","282.81"
"10-19-24 / 12:17 AM","Field Box Between the Bases","20","","2","271.89"
"10-19-24 / 12:17 AM","Lower Reserve","13","13","2","250.05"
"10-19-24 / 12:17 AM","Lower Reserve","9","13","2","228.21"
