"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"06-13-25 / 10:33 PM","Field","147","34","0","27"
"06-13-25 / 10:33 PM","Field","143","3","2","36"
"06-13-25 / 09:17 PM","Lower Box","119","29","2","57"
"06-13-25 / 09:17 PM","Lower Box","129","38","7","57"
"06-13-25 / 09:16 PM","Upper","331","9","0","26"
"06-13-25 / 09:10 PM","Upper","347","19","0","25"
"06-13-25 / 08:25 PM","Upper","320","4","2","34"
"06-13-25 / 08:13 PM","Center Field Bleachers","192","2","0","26"
"06-13-25 / 07:29 PM","Field","144","24","2","45"
"06-13-25 / 07:26 PM","Diamond Club","33","7","0","357"
"06-13-25 / 07:06 PM","Upper","335","17","1","29"
"06-13-25 / 07:05 PM","Terrace Club","239","4","0","50"
"06-13-25 / 07:04 PM","Lower Box","127","23","0","45"
"06-13-25 / 07:03 PM","Upper","344","2","5","31"
"06-13-25 / 07:01 PM","Field","115","31","2","38"
"06-13-25 / 06:46 PM","Lower Outfield","105","27","0","29"
"06-13-25 / 06:27 PM","Center Field Bleachers","194","1","0","27"
"06-13-25 / 06:24 PM","Lower Outfield","109","27","2","40"
"06-13-25 / 06:14 PM","Field","142","26","2","40"
"06-13-25 / 06:05 PM","Lower Box","123","7","0","90"
"06-13-25 / 06:01 PM","Lower Box","129","38","9","57"
"06-13-25 / 05:36 PM","Lower Box","121","27","4","59"
"06-13-25 / 05:36 PM","Left Field Bleachers","183","10","2","23"
"06-13-25 / 05:27 PM","Lower Box","120","18","0","42"
"06-13-25 / 05:25 PM","Left Field Bleachers","187","10","5","26"
"06-13-25 / 05:22 PM","Field","115","32","2","1354"
"06-13-25 / 05:20 PM","Upper","347","20","5","22"
"06-13-25 / 05:16 PM","Upper","347","15","2","20"
"06-13-25 / 05:05 PM","Lower Box","141","20","4","62"
"06-13-25 / 05:01 PM","Field","115","32","2","1354"
"06-13-25 / 04:49 PM","Field","150","40","2","38"
"06-13-25 / 04:49 PM","Field","115","11","1","33"
"06-13-25 / 04:35 PM","Lower Box","120","31","2","2481"
"06-13-25 / 04:28 PM","Left Field Bleachers","182","10","0","28"
"06-13-25 / 04:23 PM","Upper","346","25","4","21"
"06-13-25 / 04:23 PM","Upper","337","10","2","25"
"06-13-25 / 04:20 PM","Upper","312","10","2","25"
"06-13-25 / 04:14 PM","Upper","329","17","2","26"
"06-13-25 / 04:01 PM","Lower Outfield","106","27","2","35"
"06-13-25 / 03:35 PM","Upper","346","24","2","20"
"06-13-25 / 03:31 PM","Upper","327","9","2","30"
"06-13-25 / 03:22 PM","Lower Box","127","24","2","63"
"06-13-25 / 03:20 PM","Left Field Bleachers","184","11","0","24"
"06-13-25 / 03:19 PM","Upper","346","25","6","22"
"06-13-25 / 03:15 PM","Lower Box","138","5","2","108"
"06-13-25 / 03:13 PM","Terrace Club","236","8","0","59"
"06-13-25 / 03:13 PM","Upper","347","22","2","21"
"06-13-25 / 03:11 PM","Upper","346","25","7","23"
"06-13-25 / 03:05 PM","Lower Box","122","12","0","71"
"06-13-25 / 02:32 PM","Lower Box","129","36","2","58"
"06-13-25 / 02:28 PM","Lower Box","141","30","2","58"
"06-13-25 / 02:26 PM","Lower Box","120","19","0","51"
"06-13-25 / 02:24 PM","Lower Box","127","30","8","53"
"06-13-25 / 02:16 PM","Lower Box","132","33","2","58"
"06-13-25 / 02:01 PM","Upper","346","24","6","21"
"06-13-25 / 01:35 PM","Lower Outfield","108","28","4","42"
