"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-23-25 / 07:00 PM","Terrace MVP","213","J","6","54"
"07-23-25 / 06:50 PM","Right Field Hall of Fame","236","B","2","54"
"07-23-25 / 05:59 PM","Right Field MVP","240","WW","2","12"
"07-23-25 / 05:57 PM","Field Box","101","X","2","16"
"07-23-25 / 05:05 PM","Lower View MVP","416","F","2","17"
"07-23-25 / 05:02 PM","Right Field Pavilion","245","K","11","11"
"07-23-25 / 04:57 PM","Terrace Box","201","H","16","16"
"07-23-25 / 04:46 PM","Lower View MVP","422","F","5","17"
"07-23-25 / 04:35 PM","Terrace Box","205","B","2","26"
"07-23-25 / 04:34 PM","Terrace MVP","210","D","17","50"
"07-23-25 / 04:20 PM","Field Box","131","D","2","32"
"07-23-25 / 04:03 PM","Left Field Pavilion","258","N","5","19"
"07-23-25 / 03:35 PM","Lower View MVP","412","G","2","19"
"07-23-25 / 03:12 PM","Club Loge","302","G","12","17"
"07-23-25 / 03:01 PM","Lower View All-Star","408","E","7","12"
"07-23-25 / 02:15 PM","Field Hall of Fame","124","E","2","116"
"07-23-25 / 01:29 PM","Terrace MVP","212","K","5","53"
"07-23-25 / 01:27 PM","Field Box","133","J","14","16"
"07-23-25 / 12:47 PM","View MVP","514","E","6","11"
"07-23-25 / 12:40 PM","Terrace All-Star","207","A","2","38"
"07-23-25 / 12:17 PM","Field MVP","126","Y","2","49"
"07-23-25 / 12:11 PM","Lower View All-Star","410","J","2","21"
"07-23-25 / 11:37 AM","Field All-Star","128","V","15","32"
"07-23-25 / 11:34 AM","Field All-Star","128","H","11","46"
"07-23-25 / 11:12 AM","Right Field MVP","240","XX","2","13"
"07-23-25 / 11:00 AM","Field MVP","127","E","2","58"
"07-23-25 / 10:08 AM","Club Loge Front Row","302","A","2","19"
"07-23-25 / 09:54 AM","Club Loge Front Row","345","A","2","26"
"07-23-25 / 03:51 AM","Field All-Star","129","X","11","30"
"07-23-25 / 02:15 AM","Field Box","101","W","2","18"
"07-23-25 / 02:01 AM","Club All-Star","309","G","2","32"
"07-23-25 / 01:29 AM","Field Box","104","T","2","28"
"07-23-25 / 01:12 AM","Club MVP Front Row","330","A","2","90"
"07-23-25 / 12:47 AM","View MVP","513","D","2","18"
"07-23-25 / 12:30 AM","View All-Star","530","B","3","19"
"07-23-25 / 12:20 AM","Left Field Pavilion","259","S","7","28"
"07-23-25 / 12:15 AM","Right Field Pavilion","247","A","0","14"
"07-23-25 / 12:15 AM","Upper View","537","B","8","13"
"07-22-25 / 10:29 PM","Lower View All-Star Front Row","428","A","4","22"
"07-22-25 / 09:12 PM","Field All-Star Front Row","108","A","0","90"
"07-22-25 / 09:11 PM","Terrace All-Star","227","F","3","36"
"07-22-25 / 08:51 PM","Lower View MVP","420","C","2","34"
"07-22-25 / 08:28 PM","Lower View MVP","411","H","11","22"
"07-22-25 / 08:28 PM","Lower View MVP","417","F","8","25"
"07-22-25 / 07:53 PM","Field All-Star","128","W","10","40"
"07-22-25 / 07:38 PM","Field Reserved","134","Y","9","15"
"07-22-25 / 07:16 PM","Lower View MVP","411","H","16","22"
"07-22-25 / 06:48 PM","View MVP","514","B","4","18"
"07-22-25 / 06:35 PM","Field Reserved","232","C","9","17"
"07-22-25 / 05:32 PM","Left Field Pavilion","257","E","2","20"
"07-22-25 / 04:31 PM","Field Box","131","V","11","25"
"07-22-25 / 04:21 PM","Left Field Pavilion","259","L","2","21"
"07-22-25 / 04:13 PM","Field All-Star","130","Z","14","33"
"07-22-25 / 04:07 PM","Right Field MVP","238","YY","2","19"
"07-22-25 / 04:07 PM","Club Loge","302","H","2","19"
"07-22-25 / 03:42 PM","Club All-Star","309","G","2","1390"
"07-22-25 / 03:42 PM","Terrace MVP","223","A","0","73"
"07-22-25 / 03:30 PM","Terrace Box","205","E","3","18"
"07-22-25 / 03:13 PM","Field Box","103","B","0","80"
"07-22-25 / 03:12 PM","View All-Star","509","B","3","17"
"07-22-25 / 03:12 PM","Field Box Front Row","105","A","2","89"
"07-22-25 / 03:06 PM","Lower View Box Front Row","432","A","2","12"
"07-22-25 / 03:03 PM","Terrace Box","204","A","2","25"
"07-22-25 / 02:41 PM","Right Field MVP","236","V","2","18"
"07-22-25 / 02:23 PM","Left Field Pavilion","257","T","2","19"
"07-22-25 / 02:09 PM","Field All-Star","108","L","2","49"
"07-22-25 / 02:01 PM","View MVP","516","R","5","16"
"07-22-25 / 01:59 PM","Lower View MVP","420","B","2","38"
"07-22-25 / 01:45 PM","Club Loge","346","C","2","16"
"07-22-25 / 01:22 PM","Club Loge","306","B","2","18"
"07-22-25 / 01:01 PM","Field Reserved","134","B","2","24"
"07-22-25 / 12:47 PM","Club Loge","345","C","4","18"
"07-22-25 / 11:59 AM","View All-Star","511","C","2","12"
"07-22-25 / 11:20 AM","Field All-Star","108","K","2","52"
"07-22-25 / 09:59 AM","Field MVP","109","K","7","61"
"07-22-25 / 09:38 AM","Field Reserved","134","W","2","16"
"07-22-25 / 04:16 AM","Field Reserved","134","Y","2","14"
"07-22-25 / 03:48 AM","Right Field Hall of Fame","238","E","4","21"
"07-22-25 / 03:17 AM","Lexus Diamond Club","116","S","2","122"
"07-22-25 / 02:55 AM","Terrace All-Star","208","E","2","38"
"07-22-25 / 01:36 AM","Left Field Pavilion","258","L","2","16"
"07-22-25 / 12:57 AM","Club Loge Front Row","303","A","2","19"
"07-22-25 / 12:54 AM","View MVP","527","B","2","18"
"07-22-25 / 12:17 AM","Right Field Pavilion","245","B","2","12"
"07-22-25 / 12:07 AM","Club MVP","320","B","2","60"
"07-21-25 / 11:19 PM","Field MVP","127","E","16","58"
"07-21-25 / 10:54 PM","Terrace MVP","212","K","6","57"
"07-21-25 / 08:14 PM","Lexus Diamond Club","120","M","0","180"
"07-21-25 / 08:14 PM","Terrace Box","202","B","11","18"
"07-21-25 / 05:43 AM","View MVP","523","R","6","14"
"07-21-25 / 12:52 AM","Lower View MVP","414","G","5","23"
"07-20-25 / 11:56 PM","Right Field MVP","237","YY","2","18"
"07-20-25 / 11:51 PM","Left Field Pavilion","257","E","2","16"
"07-20-25 / 11:43 PM","Lower View MVP","418","F","0","23"
"07-20-25 / 11:05 PM","Right Field Hall of Fame","238","C","5","31"
"07-20-25 / 10:55 PM","Field Box","133","L","15","22"
"07-20-25 / 10:51 PM","View All-Star","509","A","5","16"
"07-20-25 / 10:47 PM","Left Field Pavilion","259","G","2","23"
"07-20-25 / 09:10 PM","Left Field Pavilion","258","H","2","23"
"07-20-25 / 08:56 PM","Right Field MVP","236","VV","7","18"
"07-20-25 / 08:43 PM","Field All-Star","128","G","2","52"
"07-20-25 / 08:39 PM","Right Field Pavilion","241","B","2","15"
"07-20-25 / 07:34 PM","Field Box","132","L","2","22"
"07-20-25 / 07:19 PM","Club MVP","330","C","2","62"
