"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"08-07-25 / 09:48 PM","Promenade Baseline","428","3","6","52"
"08-07-25 / 09:27 PM","Field Reserved","136","13","2","77"
"08-07-25 / 09:14 PM","Baseline Box","106","25","2","69"
"08-07-25 / 08:39 PM","Promenade Outfield","536","17","2","32"
"08-07-25 / 07:59 PM","Field Reserved","138","3","2","90"
"08-07-25 / 07:46 PM","Baseline Box","106","19","0","77"
"08-07-25 / 07:31 PM","Field Silver","109","4","5","150"
"08-07-25 / 06:55 PM","Field Box","110","10","2","132"
"08-07-25 / 06:53 PM","Metropolitan Box","113","25","5","148"
"08-07-25 / 06:25 PM","Promenade Baseline","428","4","2","46"
"08-07-25 / 06:18 PM","Field Silver","126","3","2","111"
"08-07-25 / 06:11 PM","Field Box","125","15","2","126"
"08-07-25 / 05:24 PM","Promenade Reserved","523","5","2","46"
"08-07-25 / 04:19 PM","Field Box","126","14","2","95"
"08-07-25 / 04:01 PM","Promenade Outfield","535","17","2","32"
"08-07-25 / 02:17 PM","Excelsior Silver","323","2","0","132"
"08-07-25 / 01:33 PM","Promenade Baseline Gold","410","1","2","94"
"08-07-25 / 12:48 PM","Metropolitan Silver","113","8","2","189"
"08-07-25 / 12:39 PM","Promenade Silver","417","3","2","91"
"08-07-25 / 11:49 AM","Baseline Silver","108","34","2","93"
"08-07-25 / 11:29 AM","Promenade Box","430","2","2","45"
"08-07-25 / 10:17 AM","Promenade Baseline Gold","402","1","5","64"
"08-07-25 / 10:06 AM","Field Box","110","7","2","119"
"08-07-25 / 08:49 AM","Promenade Reserved","520","5","6","50"
"08-07-25 / 02:35 AM","Coca-Cola Corner","302","5","2","69"
"08-06-25 / 10:49 PM","The Porch Presented by Hijole!","336","3","3","70"
"08-06-25 / 10:30 PM","Promenade Infield","515","15","2","51"
"08-06-25 / 08:09 PM","Coca-Cola Corner","302","8","2","63"
"08-06-25 / 06:28 PM","Promenade Reserved","521","13","3","42"
"08-06-25 / 05:59 PM","Field Box","110","21","3","127"
"08-06-25 / 05:55 PM","Promenade Infield","515","2","0","49"
"08-06-25 / 05:28 PM","Excelsior Silver","314","2","2","144"
"08-06-25 / 03:59 PM","Metropolitan Box","112","27","5","128"
"08-06-25 / 03:09 PM","Promenade Baseline","419","3","6","80"
"08-06-25 / 02:56 PM","Coca-Cola Corner","303","9","2","63"
"08-06-25 / 01:56 PM","Promenade Reserved Gold","507","1","2","55"
"08-06-25 / 12:26 PM","Field Box","110","24","2","111"
"08-06-25 / 12:26 PM","Metropolitan Box","113","27","3","135"
"08-06-25 / 12:43 AM","Field Reserved","135","4","2","85"
"08-05-25 / 10:48 PM","Promenade Reserved","526","5","8","43"
"08-05-25 / 10:25 PM","Excelsior Reserved","331","9","3","77"
"08-05-25 / 09:18 PM","Promenade Silver","416","2","2","97"
"08-05-25 / 08:57 PM","Promenade Reserved","524","3","2","44"
"08-05-25 / 07:54 PM","Metropolitan Bronze","122","17","2","147"
"08-05-25 / 07:30 PM","Field Box","125","17","2","117"
"08-05-25 / 07:07 PM","Field Box","110","7","2","146"
"08-05-25 / 06:14 PM","Field Reserved","103","9","2","86"
"08-05-25 / 05:43 PM","Promenade Reserved","524","2","2","49"
"08-05-25 / 05:23 PM","The Porch Presented by Hijole!","336","8","2","61"
"08-05-25 / 03:33 PM","Field Reserved","137","2","2","96"
